#-------------- Creating on pcbutt163 @ 2019-02-05 00:02:53.487555
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-05 00:02:53.487776
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.286169E-08 +3.955767E-09
1.0 +1.135329E-08 +5.380989E-09
2.0 +1.160468E-08 +5.842095E-09
3.0 +1.072478E-08 +6.806221E-09
4.0 +1.038958E-08 +6.135536E-09
5.0 +1.051528E-08 +5.884017E-09
6.0 +1.001248E-08 +6.931984E-09
7.0 +9.844895E-09 +5.800169E-09
8.0 +1.013818E-08 +6.428958E-09
9.0 +1.059910E-08 +6.051690E-09
10.0 +1.013816E-08 +7.015814E-09
11.0 +1.068286E-08 +6.554711E-09
12.0 +1.047339E-08 +6.512788E-09
13.0 +1.034769E-08 +7.141555E-09
14.0 +1.034768E-08 +6.722378E-09
15.0 +1.126950E-08 +8.776393E-09
16.0 +1.110189E-08 +7.267336E-09
17.0 +9.006888E-09 +6.890072E-09
18.0 +9.761072E-09 +7.476920E-09
19.0 +1.101809E-08 +6.890047E-09
20.0 +8.839303E-09 +8.021857E-09
21.0 +1.080858E-08 +8.147621E-09
22.0 +1.013819E-08 +6.680469E-09
23.0 +9.677279E-09 +8.902139E-09
24.0 +9.719194E-09 +7.896102E-09
25.0 +9.844868E-09 +6.848137E-09
26.0 +9.970575E-09 +6.428960E-09
27.0 +9.761081E-09 +7.602672E-09
28.0 +9.635391E-09 +7.434993E-09
29.0 +9.635395E-09 +7.644587E-09
30.0 +1.499857E-08 +6.973891E-09
31.0 +1.164656E-08 +7.644582E-09
32.0 +1.085048E-08 +7.812262E-09
33.0 +1.261030E-08 +8.189506E-09
34.0 +1.286167E-08 +6.596631E-09
35.0 +1.524997E-08 +5.884019E-09
36.0 +1.893717E-08 +8.482955E-09
37.0 +2.287576E-08 +7.057730E-09
38.0 -3.001723E-07 +7.309246E-09
39.0 +3.339263E-08 +6.890049E-09
40.0 +3.997036E-08 +7.393073E-09
41.0 +5.475973E-08 +7.393087E-09
42.0 +6.833410E-08 +7.476905E-09
43.0 +8.932411E-08 +7.560758E-09
44.0 +1.212909E-07 +9.153649E-09
45.0 +1.609667E-07 +1.124956E-08
