#-------------- Creating on pcbutt163 @ 2019-02-05 10:42:58.836735
#--------------------------------------------------------------------------------
# 	 INIT TRANSFER TEST .....						       
#
# VDS       : 50.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# VGS_STOP  : 50.0
# VGS_STEP  : 1.0
# NPLC      : 1.0
# DELETE    : 0.0
# SWEEP     : True
# Number of Pts.: 50
# pozycja poczatkowa szhuttera: 0 keep open 0 before measurmeents
# TIME START:     2019-02-05 10:42:58.836983
# :: --------------------------- transfer ------------------------------------------
# ::   VGS          IDS           IGS           VDS         IDS_Time       delta    
# :: -------------------------------------------------------------------------------
#------ comments: init_log
0.0 +1.516613E-08 +3.997738E-09
1.0 +1.227504E-08 +5.632554E-09
2.0 +1.110183E-08 +5.884068E-09
3.0 +1.185603E-08 +6.806277E-09
4.0 +1.051522E-08 +6.219421E-09
5.0 +1.143703E-08 +6.387110E-09
6.0 +1.038954E-08 +6.806271E-09
7.0 +1.034764E-08 +7.602717E-09
8.0 +1.022193E-08 +7.896169E-09
9.0 +1.089233E-08 +6.932033E-09
10.0 +1.013813E-08 +7.183537E-09
11.0 +1.055711E-08 +7.812324E-09
12.0 +1.068283E-08 +7.476989E-09
13.0 +1.047332E-08 +7.686569E-09
14.0 +1.072473E-08 +7.938073E-09
15.0 +9.383928E-09 +8.231503E-09
16.0 +9.132544E-09 +7.560821E-09
17.0 +9.551522E-09 +8.441100E-09
18.0 +1.156273E-08 +9.279471E-09
19.0 +9.425838E-09 +9.027962E-09
20.0 +1.047333E-08 +9.153718E-09
21.0 +1.219123E-08 +1.015975E-08
22.0 +1.068283E-08 +6.890116E-09
23.0 +9.802918E-09 +7.267380E-09
24.0 +1.047331E-08 +9.447149E-09
25.0 +1.080854E-08 +9.698651E-09
26.0 +1.126942E-08 +1.154307E-08
27.0 +1.256832E-08 +1.171074E-08
28.0 +1.340632E-08 +1.607027E-08
29.0 +1.625553E-08 +1.460313E-08
30.0 +1.931423E-08 +1.498039E-08
31.0 +2.450983E-08 +1.745357E-08
32.0 +2.924453E-08 +1.762126E-08
33.0 +3.900676E-08 +1.954952E-08
34.0 +4.969031E-08 +2.076515E-08
35.0 +7.097364E-08 +2.223230E-08
36.0 +9.187993E-08 +2.122625E-08
37.0 +1.264025E-07 +2.286107E-08
38.0 +1.717343E-07 +2.353179E-08
39.0 +2.305988E-07 +2.239996E-08
40.0 +3.076879E-07 +2.323835E-08
41.0 +4.125961E-07 +2.432823E-08
42.0 +5.706292E-07 +2.525044E-08
43.0 +7.629333E-07 +2.483126E-08
44.0 +1.033416E-06 +2.776555E-08
45.0 +1.359119E-06 +2.701102E-08
46.0 +1.767441E-06 +2.839431E-08
47.0 +2.265588E-06 +2.839432E-08
48.0 +2.921433E-06 +3.057409E-08
49.0 +3.751985E-06 +3.350839E-08
