# INIT TIME STEP TEST ..................................................  
# VDS       : 0.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# NPLC      : 1.0
# DELETE    : 0.0
# :: ----------------------------------- TIME --------------------------------------
# ::     Time 	 IDS 	 IGS 	 VDS 	 VGS 	 XPIN 	 | Shutter | 	 Delta Time	     
# :: -------------------------------------------------------------------------------
0.2000 -1.059316E-06 +4.374963E-09 0.0 0.0 +3.949879E-13 | 0 | 0.2000
0.4000 -1.059944E-06 +6.135534E-09 0.0 0.0 -4.456190E-13 | 0 | 0.2000
0.5000 -1.059190E-06 +6.848158E-09 0.0 0.0 +2.454660E-13 | 0 | 0.1000
0.6000 -1.059149E-06 +5.129484E-09 0.0 0.0 +1.989934E-13 | 0 | 0.1000
0.7000 -1.059484E-06 +4.919907E-09 0.0 0.0 -6.497178E-13 | 0 | 0.1000
0.9000 -1.060992E-06 +5.045665E-09 0.0 0.0 +4.899545E-13 | 0 | 0.2000
1.0000 -1.058268E-06 +4.752230E-09 0.0 0.0 -4.011606E-13 | 0 | 0.1000
1.1000 -1.059442E-06 +5.632533E-09 0.0 0.0 +1.403969E-13 | 0 | 0.1000
1.3000 -1.059861E-06 +6.596625E-09 0.0 0.0 +2.050551E-13 | 0 | 0.2000
1.4000 -1.060405E-06 +6.387054E-09 0.0 0.0 -5.062412E-13 | 0 | 0.1000
1.5000 -1.059610E-06 +5.381009E-09 0.0 0.0 +4.838929E-13 | 0 | 0.1000
1.6000 -1.060196E-06 +5.045662E-09 0.0 0.0 -4.052024E-13 | 0 | 0.1000
1.8000 -1.059316E-06 +5.087571E-09 0.0 0.0 +1.040269E-13 | 0 | 0.2000
1.9000 -1.059945E-06 +5.213330E-09 0.0 0.0 +3.909471E-13 | 0 | 0.1000
2.0000 -1.058604E-06 +4.836084E-09 0.0 0.0 -5.102829E-13 | 0 | 0.1000
2.1000 -1.060154E-06 +5.758277E-09 0.0 0.0 +4.151934E-13 | 0 | 0.1000
2.3000 -1.059902E-06 +5.590601E-09 0.0 0.0 -4.011609E-13 | 0 | 0.2000
2.4000 -1.059861E-06 +4.584565E-09 0.0 0.0 +9.784552E-16 | 0 | 0.1000
2.5000 -1.058394E-06 +4.794156E-09 0.0 0.0 +2.939599E-13 | 0 | 0.1000
2.6000 -1.060489E-06 +4.836074E-09 0.0 0.0 -5.123036E-13 | 0 | 0.1000
2.8000 -1.060615E-06 +3.913853E-09 0.0 0.0 +4.737894E-13 | 0 | 0.2000
2.9000 -1.058268E-06 +5.255250E-09 0.0 0.0 -4.052024E-13 | 0 | 0.1000
3.0000 -1.059316E-06 +5.464845E-09 0.0 0.0 -1.404765E-13 | 0 | 0.1000
3.1000 -1.058897E-06 +5.213343E-09 0.0 0.0 +3.949883E-13 | 0 | 0.1000
3.3000 -1.059903E-06 +5.255254E-09 0.0 0.0 -4.779507E-13 | 0 | 0.2000
3.4000 -1.060448E-06 +5.842109E-09 0.0 0.0 +4.111520E-13 | 0 | 0.1000
3.5000 -1.059274E-06 +4.752232E-09 0.0 0.0 -3.405366E-13 | 0 | 0.1000
3.6000 -1.059651E-06 +5.884033E-09 0.0 0.0 -2.314128E-13 | 0 | 0.1000
3.8000 -1.059777E-06 +5.884025E-09 0.0 0.0 +5.687567E-13 | 0 | 0.2000
3.9000 -1.060363E-06 +5.842111E-09 0.0 0.0 -5.688865E-13 | 0 | 0.1000
4.0000 -1.059944E-06 +5.213322E-09 0.0 0.0 +5.606730E-13 | 0 | 0.1000
4.1000 -1.059567E-06 +6.051709E-09 0.0 0.0 -3.748907E-13 | 0 | 0.1000
4.3000 -1.060112E-06 +5.800205E-09 0.0 0.0 -9.399795E-14 | 0 | 0.2000
4.4000 -1.058561E-06 +6.261296E-09 0.0 0.0 +5.404693E-13 | 0 | 0.1000
4.5000 -1.060825E-06 +6.135545E-09 0.0 0.0 -5.082626E-13 | 0 | 0.1000
4.7000 -1.060363E-06 +5.716360E-09 0.0 0.0 +3.707405E-13 | 0 | 0.2000
4.8000 -1.060656E-06 +6.093622E-09 0.0 0.0 -2.698084E-13 | 0 | 0.1000
4.9000 -1.060363E-06 +6.554735E-09 0.0 0.0 -2.495999E-13 | 0 | 0.1000
5.0000 -1.060825E-06 +5.674436E-09 0.0 0.0 +5.344075E-13 | 0 | 0.1000
5.2000 -1.058855E-06 +5.381012E-09 0.0 0.0 -5.951575E-13 | 0 | 0.2000
5.3000 -1.060070E-06 +4.710304E-09 0.0 0.0 +4.111520E-13 | 0 | 0.1000
5.4000 -1.058394E-06 +5.087589E-09 0.0 0.0 -2.980995E-13 | 0 | 0.1000
5.5000 -1.060237E-06 +5.045669E-09 0.0 0.0 -3.546817E-13 | 0 | 0.1000
5.7000 -1.059819E-06 +4.919912E-09 0.0 0.0 +4.879338E-13 | 0 | 0.2000
5.8000 -1.059442E-06 +5.842113E-09 0.0 0.0 -5.102837E-13 | 0 | 0.1000
5.9000 -1.059023E-06 +5.464851E-09 0.0 0.0 +3.303295E-13 | 0 | 0.1000
6.0000 -1.060573E-06 +5.464852E-09 0.0 0.0 -2.657667E-13 | 0 | 0.1000
6.2000 -1.059609E-06 +6.051701E-09 0.0 0.0 -4.456177E-13 | 0 | 0.2000
6.3000 -1.058940E-06 +5.674436E-09 0.0 0.0 +5.788603E-13 | 0 | 0.1000
6.4000 -1.058897E-06 +5.422930E-09 0.0 0.0 -4.739096E-13 | 0 | 0.1000
6.5000 -1.059692E-06 +6.345136E-09 0.0 0.0 +4.273161E-13 | 0 | 0.1000
6.7000 -1.059944E-06 +5.381001E-09 0.0 0.0 -5.964427E-14 | 0 | 0.2000
6.8000 -1.059651E-06 +5.716354E-09 0.0 0.0 -3.748895E-13 | 0 | 0.1000
6.9000 -1.059484E-06 +5.381012E-09 0.0 0.0 +4.556053E-13 | 0 | 0.1000
7.0000 -1.058813E-06 +5.422927E-09 0.0 0.0 -4.961384E-13 | 0 | 0.1000
7.2000 -1.060531E-06 +6.177455E-09 0.0 0.0 +2.777948E-13 | 0 | 0.2000
7.3000 -1.058688E-06 +4.961824E-09 0.0 0.0 -7.176920E-14 | 0 | 0.1000
7.4000 -1.060363E-06 +5.381013E-09 0.0 0.0 -5.163453E-13 | 0 | 0.1000
7.5000 -1.059149E-06 +4.961810E-09 0.0 0.0 +5.263248E-13 | 0 | 0.1000
7.7000 -1.059693E-06 +4.668391E-09 0.0 0.0 -5.385754E-13 | 0 | 0.2000
7.8000 -1.059860E-06 +5.045662E-09 0.0 0.0 +3.040622E-13 | 0 | 0.1000
7.9000 -1.061286E-06 +5.255256E-09 0.0 0.0 +1.363559E-13 | 0 | 0.1000
8.0000 -1.059148E-06 +4.961819E-09 0.0 0.0 -5.486783E-13 | 0 | 0.1000
